Country,Code,date,policy,,,,
South Africa,ZAF,01/06/2021,Required (except essentials),,,,
South Africa,ZAF,01/06/2022,No measures,,,,
South Korea,KOR,01/06/2020,Recommended,,,,
South Korea,KOR,01/06/2021,Recommended,,,,
South Korea,KOR,01/06/2022,No measures,,,,
South Sudan,SSD,01/06/2020,Required (except essentials),,,,
South Sudan,SSD,01/06/2021,No measures,,,,
South Sudan,SSD,01/06/2022,Required (except essentials),,,,
Spain,ESP,01/06/2020,Recommended,,,,
Spain,ESP,01/06/2021,Required (except essentials),,,,
Spain,ESP,01/06/2022,No measures,,,,
Sri Lanka,LKA,01/06/2020,Required (except essentials),,,,
Sri Lanka,LKA,01/06/2021,Required (except essentials),,,,
Sri Lanka,LKA,01/06/2022,Recommended,,,,
Sudan,SDN,01/06/2020,Required (except essentials),,,,
Sudan,SDN,01/06/2021,Recommended,,,,
Sudan,SDN,01/06/2022,No measures,,,,
Suriname,SUR,01/06/2020,Required (except essentials),,,,
Suriname,SUR,01/06/2021,Required (except essentials),,,,
Suriname,SUR,01/06/2022,No measures,,,,
Sweden,SWE,01/06/2020,Recommended,,,,
Sweden,SWE,01/06/2021,Recommended,,,,
Sweden,SWE,01/06/2022,No measures,,,,
Switzerland,CHE,01/06/2020,Recommended,,,,
Switzerland,CHE,01/06/2021,Recommended,,,,
Switzerland,CHE,01/06/2022,No measures,,,,
Syria,SYR,01/06/2020,Recommended,,,,
Syria,SYR,01/06/2021,Required (except essentials),,,,
Syria,SYR,01/06/2022,No measures,,,,
Taiwan,TWN,01/06/2020,No measures,,,,
Taiwan,TWN,01/06/2021,Required (except essentials),,,,
Taiwan,TWN,01/06/2022,No measures,,,,
Tajikistan,TJK,01/06/2020,Recommended,,,,
Tajikistan,TJK,01/06/2021,No measures,,,,
Tajikistan,TJK,01/06/2022,No measures,,,,
Tanzania,TZA,01/06/2020,No measures,,,,
Tanzania,TZA,01/06/2021,No measures,,,,
Tanzania,TZA,01/06/2022,No measures,,,,
Thailand,THA,01/06/2020,Recommended,,,,
Thailand,THA,01/06/2021,Recommended,,,,
Thailand,THA,01/06/2022,No measures,,,,
Togo,TGO,01/06/2020,Required (except essentials),,,,
Togo,TGO,01/06/2021,Recommended,,,,
Togo,TGO,01/06/2022,Required (except essentials),,,,
Tonga,TON,01/06/2020,Required (except essentials),,,,
Tonga,TON,01/06/2021,Required (except essentials),,,,
Tonga,TON,01/06/2022,Required (except essentials),,,,
Trinidad and Tobago,TTO,01/06/2020,Required (except essentials),,,,
Trinidad and Tobago,TTO,01/06/2021,Required (except essentials),,,,
Trinidad and Tobago,TTO,01/06/2022,No measures,,,,
Tunisia,TUN,01/06/2020,Recommended,,,,
Tunisia,TUN,01/06/2021,Required (except essentials),,,,
Tunisia,TUN,01/06/2022,No measures,,,,
Turkey,TUR,01/06/2020,Required (except essentials),,,,
Turkey,TUR,01/06/2021,Required (except essentials),,,,
Turkey,TUR,01/06/2022,No measures,,,,
Turkmenistan,TKM,01/06/2020,No measures,,,,
Turkmenistan,TKM,01/06/2021,No measures,,,,
Turkmenistan,TKM,01/06/2022,No measures,,,,
Uganda,UGA,01/06/2020,Required (except essentials),,,,
Uganda,UGA,01/06/2021,Required (except essentials),,,,
Uganda,UGA,01/06/2022,No measures,,,,
Ukraine,UKR,01/06/2020,Recommended,,,,
Ukraine,UKR,01/06/2021,Recommended,,,,
Ukraine,UKR,01/06/2022,No measures,,,,
United Arab Emirates,ARE,01/06/2020,No measures,,,,
United Arab Emirates,ARE,01/06/2021,No measures,,,,
United Arab Emirates,ARE,01/06/2022,No measures,,,,
United Kingdom,GBR,01/06/2020,Recommended,,,,
United Kingdom,GBR,01/06/2021,No measures,,,,
United Kingdom,GBR,01/06/2022,No measures,,,,
United States,USA,01/06/2020,Required (except essentials),,,,
United States,USA,01/06/2021,Recommended,,,,
United States,USA,01/06/2022,No measures,,,,
United States Virgin Islands,VIR,01/06/2020,No measures,,,,
United States Virgin Islands,VIR,01/06/2021,No measures,,,,
United States Virgin Islands,VIR,01/06/2022,No measures,,,,
Uruguay,URY,01/06/2020,Recommended,,,,
Uruguay,URY,01/06/2021,Recommended,,,,
Uruguay,URY,01/06/2022,No measures,,,,
Uzbekistan,UZB,01/06/2020,Required (except essentials),,,,
